"subject" "activity" "feature" "statistics" "dimension" "mean_value"
"1" 1 "WALKING" "fBodyAccMag" "mean" "" -0.128623450629474
"2" 2 "WALKING" "fBodyAccMag" "mean" "" -0.324289427932203
"3" 3 "WALKING" "fBodyAccMag" "mean" "" -0.290031535172414
"4" 4 "WALKING" "fBodyAccMag" "mean" "" -0.450804558333333
"5" 5 "WALKING" "fBodyAccMag" "mean" "" -0.304992488892857
"6" 6 "WALKING" "fBodyAccMag" "mean" "" -0.201386607649123
"7" 7 "WALKING" "fBodyAccMag" "mean" "" -0.151243649578947
"8" 8 "WALKING" "fBodyAccMag" "mean" "" -0.09521728274375
"9" 9 "WALKING" "fBodyAccMag" "mean" "" -0.318801022711538
"10" 10 "WALKING" "fBodyAccMag" "mean" "" -0.0930237422792453
"11" 11 "WALKING" "fBodyAccMag" "mean" "" -0.458514062542373
"12" 12 "WALKING" "fBodyAccMag" "mean" "" -0.153116002784
"13" 13 "WALKING" "fBodyAccMag" "mean" "" -0.23460086645614
"14" 14 "WALKING" "fBodyAccMag" "mean" "" -0.373516771016949
"15" 15 "WALKING" "fBodyAccMag" "mean" "" -0.275156242062037
"16" 16 "WALKING" "fBodyAccMag" "mean" "" -0.410463241960784
"17" 17 "WALKING" "fBodyAccMag" "mean" "" -0.429380043442623
"18" 18 "WALKING" "fBodyAccMag" "mean" "" -0.424386734107143
"19" 19 "WALKING" "fBodyAccMag" "mean" "" 0.0322272296217308
"20" 20 "WALKING" "fBodyAccMag" "mean" "" -0.00353341793921569
"21" 21 "WALKING" "fBodyAccMag" "mean" "" -0.251266388923077
"22" 22 "WALKING" "fBodyAccMag" "mean" "" -0.0241584964891304
"23" 23 "WALKING" "fBodyAccMag" "mean" "" -0.0942606311677966
"24" 24 "WALKING" "fBodyAccMag" "mean" "" -0.434618912068966
"25" 25 "WALKING" "fBodyAccMag" "mean" "" -0.566060023108108
"26" 26 "WALKING" "fBodyAccMag" "mean" "" -0.379836742711864
"27" 27 "WALKING" "fBodyAccMag" "mean" "" -0.327229405789474
"28" 28 "WALKING" "fBodyAccMag" "mean" "" -0.352156841666667
"29" 29 "WALKING" "fBodyAccMag" "mean" "" -0.235683305566038
"30" 30 "WALKING" "fBodyAccMag" "mean" "" -0.342363772923077
"31" 1 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.352395944716981
"32" 2 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.14531853915625
"33" 3 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.315866079491525
"34" 4 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.276825498230769
"35" 5 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.169261525
"36" 6 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.0819479396203922
"37" 7 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.378618761568627
"38" 8 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.13026451905122
"39" 9 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.372890348979592
"40" 10 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.166866721574468
"41" 11 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.336061027407407
"42" 12 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.290005418653846
"43" 13 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.367522800909091
"44" 14 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.0759851813333333
"45" 15 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.165242147958333
"46" 16 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.370649738235294
"47" 17 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.150305643291667
"48" 18 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.436561064482759
"49" 19 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.07962876322
"50" 20 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.205009295196078
"51" 21 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.257894449148936
"52" 22 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.0866905123880952
"53" 23 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.231382662235294
"54" 24 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.322300989322034
"55" 25 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.527907561538462
"56" 26 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.167566383372727
"57" 27 "WALKING_UPSTAIRS" "fBodyAccMag" "mean" "" -0.393928937058824
